platform,day_of_week,publish_hour,post_format,content_category,caption_length,hashtag_count,caption_sentiment,has_call_to_action,follower_count,account_age_months,historical_avg_engagement,recent_engagement_trend,paid_promotion,engagement_score
Facebook,Sunday,3,Short Video,Education,120,2,-0.445,No,9051,63,6.44,-0.069,0,28.589
Instagram,Friday,8,Carousel,Behind the Scenes,115,4,-0.207,No,22075,24,11.459,0.185,0,62.621
LinkedIn,Sunday,3,Carousel,Product,24,4,-0.027,Yes,1145,128,23.475,0.236,0,39.137
TikTok,Wednesday,20,Short Video,Community,235,4,-0.227,No,6821,59,11.921,-0.236,0,61.768
Instagram,Monday,10,Short Video,Lifestyle,274,2,0.487,No,6024,6,24.963,-0.053,0,48.908
Instagram,Sunday,22,Text,Lifestyle,147,7,1.0,Yes,2209,122,23.405,-0.0,0,35.116
Facebook,Saturday,12,Short Video,Community,207,4,0.084,No,6643,77,17.482,0.034,0,45.511
X,Friday,17,Image,Lifestyle,10,9,0.452,Yes,11414,45,35.049,-0.12,0,42.476
TikTok,Monday,22,Image,Entertainment,111,5,0.596,Yes,517,9,14.206,0.098,0,45.103
Instagram,Sunday,0,Image,Education,63,5,0.149,Yes,16359,71,11.379,0.08,0,28.796
TikTok,Monday,7,Text,Education,138,2,0.151,Yes,1348,69,21.428,0.009,0,44.454
X,Monday,14,Carousel,Behind the Scenes,99,7,0.162,Yes,6851,39,18.414,-0.037,0,51.361
LinkedIn,Monday,2,Text,Lifestyle,42,7,0.614,No,26988,139,43.966,0.192,0,52.797
Instagram,Sunday,0,Carousel,Entertainment,204,5,0.085,Yes,13716,118,2.351,0.102,0,39.351
Facebook,Saturday,11,Text,Product,23,5,-0.159,No,1043,138,34.805,0.248,0,49.128
LinkedIn,Monday,4,Short Video,Behind the Scenes,33,8,-0.172,Yes,18372,55,17.947,-0.152,0,36.178
LinkedIn,Wednesday,12,Text,Community,402,4,-0.15,Yes,11033,140,21.544,0.155,0,57.404
TikTok,Thursday,10,Short Video,Product,56,7,0.405,No,35748,37,19.059,-0.245,0,40.171
LinkedIn,Thursday,14,Image,Community,275,3,0.158,Yes,24361,37,13.694,0.359,0,54.405
Facebook,Tuesday,13,Short Video,Education,48,8,0.404,Yes,20324,80,12.451,-0.048,0,43.69
Instagram,Monday,21,Image,Behind the Scenes,169,3,0.13,No,7166,142,15.097,-0.328,0,35.751
Instagram,Monday,5,Image,Community,10,8,0.443,No,12663,34,21.275,0.37,0,44.48
TikTok,Sunday,10,Carousel,Community,169,5,0.505,Yes,22944,16,35.197,0.12,1,74.485
Instagram,Friday,19,Carousel,Entertainment,43,3,-0.159,Yes,13654,138,45.0,-0.556,0,65.875
TikTok,Sunday,1,Short Video,Entertainment,258,4,-0.306,Yes,13736,72,6.431,0.256,0,46.414
LinkedIn,Sunday,11,Short Video,Product,96,4,-0.531,Yes,47343,98,9.062,-0.207,0,30.06
LinkedIn,Tuesday,21,Text,Behind the Scenes,201,2,0.118,No,17208,78,10.431,-0.115,0,47.463
Instagram,Monday,22,Short Video,Entertainment,129,3,0.594,Yes,11626,82,14.748,-0.044,0,40.732
Instagram,Friday,9,Long Video,Community,113,1,-0.052,Yes,1752,69,38.571,0.073,1,48.002
Facebook,Tuesday,18,Short Video,Entertainment,7,8,0.116,No,24737,141,33.247,0.021,0,59.404
TikTok,Friday,0,Carousel,Behind the Scenes,289,11,-0.057,No,11670,55,21.241,-0.119,1,48.634
Instagram,Sunday,0,Carousel,Product,89,9,-0.117,No,16129,12,34.627,-0.066,0,75.54
LinkedIn,Sunday,6,Text,Lifestyle,256,3,-0.317,Yes,15215,124,11.074,-0.268,0,34.629
Instagram,Tuesday,4,Image,Behind the Scenes,223,5,0.152,Yes,3564,110,25.702,-0.131,0,40.197
Instagram,Thursday,10,Carousel,Education,28,9,-0.35,Yes,10902,69,21.8,0.205,0,50.747
LinkedIn,Friday,12,Short Video,Lifestyle,82,6,0.847,Yes,10964,31,38.255,-0.123,0,72.555
Facebook,Tuesday,22,Carousel,Community,156,9,0.219,No,16680,85,18.486,-0.302,0,24.003
TikTok,Thursday,0,Image,Lifestyle,42,2,-0.032,No,3533,35,45.0,-0.004,0,70.161
LinkedIn,Wednesday,1,Image,Education,251,9,0.336,Yes,58470,63,26.888,-0.27,1,45.001
X,Friday,1,Image,Entertainment,107,3,0.268,Yes,17980,23,36.028,0.258,1,74.834
Instagram,Friday,20,Carousel,Behind the Scenes,121,5,-0.447,No,32167,96,45.0,0.372,1,83.404
Facebook,Sunday,5,Carousel,Entertainment,136,4,0.807,Yes,17517,89,11.879,0.206,1,43.26
Instagram,Thursday,2,Text,Product,208,4,0.582,Yes,5293,90,31.495,0.326,0,61.058
TikTok,Wednesday,7,Long Video,Education,25,6,0.484,No,47407,34,14.58,-0.138,0,47.838
TikTok,Monday,15,Image,Lifestyle,50,3,0.327,Yes,7594,117,16.372,0.196,1,49.1
TikTok,Friday,7,Image,Lifestyle,98,4,-0.033,Yes,6918,33,23.609,-0.565,0,36.908
Instagram,Saturday,3,Text,Education,36,6,0.172,No,16536,113,6.573,0.344,0,30.436
LinkedIn,Wednesday,10,Short Video,Community,114,2,0.531,Yes,8730,36,35.108,-0.11,0,62.656
TikTok,Sunday,8,Short Video,Entertainment,86,4,0.509,No,7781,115,29.312,0.361,0,80.874
X,Thursday,5,Short Video,Product,79,6,0.208,Yes,2355,131,25.22,-0.632,0,30.651
TikTok,Thursday,20,Image,Entertainment,123,8,-0.38,No,4214,46,17.224,0.295,0,53.255
LinkedIn,Monday,11,Image,Lifestyle,137,6,0.421,No,12115,72,33.088,0.108,0,40.707
Facebook,Thursday,14,Carousel,Education,134,5,-0.028,No,5042,18,20.897,0.057,0,39.166
TikTok,Friday,5,Carousel,Entertainment,56,2,0.276,No,19159,144,28.597,-0.582,0,58.782
LinkedIn,Thursday,20,Text,Education,81,7,-0.067,Yes,16131,101,22.621,-0.145,0,56.374
LinkedIn,Thursday,21,Image,Product,52,7,-0.274,Yes,7581,124,9.97,-0.111,0,40.873
TikTok,Thursday,6,Image,Product,156,5,-0.067,Yes,9864,38,33.396,-0.11,0,53.413
TikTok,Friday,16,Text,Entertainment,129,2,0.008,No,9916,22,4.104,0.141,0,27.151
Facebook,Monday,11,Text,Education,109,7,0.028,No,5955,27,5.76,0.055,0,21.02
Facebook,Thursday,15,Carousel,Lifestyle,548,5,0.612,No,8561,16,19.999,0.251,0,22.535
TikTok,Thursday,4,Carousel,Lifestyle,48,2,0.423,No,4207,142,6.238,0.021,0,47.295
LinkedIn,Wednesday,23,Short Video,Education,38,3,-0.138,Yes,7114,58,9.562,0.245,1,44.18
TikTok,Thursday,20,Image,Product,127,6,0.589,No,11788,95,11.161,0.004,0,43.134
TikTok,Friday,10,Text,Lifestyle,170,6,0.3,Yes,4901,142,9.494,-0.048,1,45.412
Facebook,Sunday,13,Image,Entertainment,216,6,0.466,No,12733,139,3.568,-0.637,0,17.513
X,Tuesday,11,Image,Lifestyle,92,0,-0.279,No,8530,33,23.484,-0.32,0,27.214
Instagram,Monday,12,Short Video,Behind the Scenes,168,7,0.395,No,14561,76,27.774,-0.203,0,57.477
Instagram,Wednesday,7,Short Video,Behind the Scenes,135,5,-0.161,Yes,39137,58,14.428,0.259,0,51.733
Instagram,Wednesday,6,Text,Lifestyle,93,7,0.984,No,3206,13,41.887,-0.248,0,50.664
Facebook,Monday,3,Short Video,Behind the Scenes,454,5,-0.36,Yes,1182,95,23.354,-0.037,0,30.823
TikTok,Thursday,2,Image,Community,156,7,0.658,No,2337,8,26.835,0.256,0,48.803
TikTok,Thursday,23,Short Video,Entertainment,251,3,0.578,Yes,65145,109,45.0,0.096,0,90.184
Instagram,Saturday,12,Image,Entertainment,23,7,0.057,No,11676,30,29.713,0.158,0,48.646
X,Friday,13,Image,Education,141,5,0.65,Yes,4065,138,41.716,0.053,0,57.465
TikTok,Thursday,3,Carousel,Education,63,5,0.82,Yes,11539,41,29.445,0.305,1,67.929
Facebook,Friday,13,Image,Lifestyle,71,6,0.314,Yes,5194,121,45.0,0.044,0,60.145
Instagram,Wednesday,1,Carousel,Education,67,4,-0.496,No,2661,134,19.572,0.411,1,40.315
Instagram,Tuesday,14,Long Video,Community,92,9,0.151,Yes,21406,117,9.446,0.33,0,37.15
Instagram,Thursday,17,Image,Entertainment,148,4,0.484,Yes,9685,89,27.614,-0.242,0,53.756
TikTok,Thursday,15,Short Video,Entertainment,120,6,0.349,Yes,7676,63,45.0,-0.412,0,73.027
TikTok,Wednesday,17,Image,Entertainment,215,6,0.171,Yes,4425,140,19.818,-0.008,0,55.415
Instagram,Sunday,4,Short Video,Product,174,3,0.382,No,996,141,13.008,0.235,0,44.454
TikTok,Thursday,0,Short Video,Entertainment,284,3,0.146,No,3419,136,20.292,0.173,0,40.196
Instagram,Thursday,16,Image,Entertainment,108,8,-0.091,Yes,38549,132,19.497,-0.043,1,35.754
TikTok,Friday,19,Text,Lifestyle,100,1,0.28,No,12119,124,24.596,0.308,0,63.947
Instagram,Wednesday,1,Short Video,Behind the Scenes,205,4,0.467,No,1119,113,13.352,0.309,0,42.551
Instagram,Thursday,21,Text,Education,83,5,-0.327,Yes,8822,100,18.396,0.371,0,45.797
Instagram,Sunday,15,Text,Education,264,5,0.085,Yes,4395,70,28.554,0.093,0,53.069
LinkedIn,Friday,20,Image,Behind the Scenes,177,5,0.785,No,57203,74,13.291,0.424,0,52.299
X,Saturday,12,Text,Community,56,0,-0.001,Yes,645,120,45.0,-0.238,0,52.414
Facebook,Monday,5,Short Video,Entertainment,157,6,0.533,No,63485,121,12.465,0.17,0,33.328
Instagram,Saturday,12,Carousel,Education,80,7,0.298,Yes,3002,30,10.139,0.21,0,39.162
X,Friday,18,Long Video,Community,98,3,0.521,Yes,36026,104,29.604,0.002,0,57.349
X,Sunday,21,Carousel,Product,205,4,0.46,No,2992,17,23.429,0.105,0,51.239
TikTok,Sunday,16,Short Video,Behind the Scenes,353,7,0.919,Yes,29076,53,34.593,0.058,0,80.028
Instagram,Monday,10,Carousel,Education,86,5,0.449,Yes,5268,42,37.168,-0.069,0,56.924
LinkedIn,Thursday,16,Text,Behind the Scenes,211,5,0.735,Yes,10249,5,1.618,-0.058,0,42.834
X,Sunday,9,Text,Product,215,3,0.925,No,37854,47,20.254,-0.008,1,47.026
LinkedIn,Saturday,2,Image,Product,192,3,0.828,Yes,1813,102,25.247,0.005,0,43.128
Facebook,Monday,8,Short Video,Community,153,2,0.867,No,1240,60,22.926,0.09,1,48.163
Facebook,Thursday,10,Image,Entertainment,92,5,0.597,Yes,3139,96,5.832,-0.053,0,32.324
X,Wednesday,9,Text,Product,211,6,-0.099,No,8108,47,21.333,0.133,0,36.968
Instagram,Friday,0,Image,Behind the Scenes,37,5,0.721,No,6914,82,16.257,0.169,0,53.587
Instagram,Thursday,6,Image,Product,117,5,0.45,Yes,6871,52,5.336,0.452,0,29.441
LinkedIn,Wednesday,23,Long Video,Behind the Scenes,319,4,0.118,Yes,18321,144,12.667,-0.025,0,33.131
Instagram,Wednesday,23,Short Video,Education,100,9,0.393,Yes,9676,34,15.818,0.203,0,52.313
TikTok,Sunday,5,Carousel,Community,130,3,0.609,Yes,15431,12,45.0,0.156,0,63.208
Instagram,Wednesday,8,Short Video,Behind the Scenes,353,6,0.176,No,19812,61,15.412,-0.112,1,37.982
Instagram,Tuesday,23,Long Video,Product,232,5,0.069,Yes,9876,33,6.237,0.192,1,40.396
Instagram,Monday,4,Image,Education,36,6,0.988,No,1600,86,39.341,-0.019,0,50.799
Facebook,Tuesday,18,Carousel,Education,146,6,0.94,No,7509,139,8.062,0.065,0,19.423
TikTok,Monday,12,Short Video,Entertainment,88,4,0.272,Yes,2775,139,27.836,-0.591,0,68.215
Facebook,Monday,5,Short Video,Product,39,1,0.297,No,949,9,6.695,0.087,0,19.546
TikTok,Thursday,20,Short Video,Community,146,6,0.676,No,7428,144,32.34,-0.124,0,78.366
X,Thursday,10,Short Video,Entertainment,326,6,0.642,No,4364,25,9.662,-0.117,0,32.54
Facebook,Saturday,7,Short Video,Education,69,3,-0.117,No,4559,135,10.489,-0.069,0,47.126
X,Friday,14,Image,Entertainment,44,11,0.127,Yes,26406,130,38.622,0.312,0,44.94
TikTok,Tuesday,12,Carousel,Entertainment,65,6,0.332,No,9504,94,21.365,-0.025,0,60.219
Instagram,Friday,1,Short Video,Lifestyle,90,3,-0.55,Yes,604,17,10.787,0.152,0,24.973
LinkedIn,Thursday,4,Carousel,Community,160,5,0.63,Yes,29752,34,27.937,0.333,0,61.864
LinkedIn,Tuesday,13,Text,Lifestyle,520,3,0.423,Yes,18994,79,24.839,-0.18,1,50.565
Instagram,Friday,18,Text,Community,138,5,-0.2,No,40980,107,41.825,-0.103,0,66.787
Facebook,Friday,8,Carousel,Product,164,5,0.75,No,3639,16,11.466,-0.065,0,30.518
Facebook,Wednesday,22,Image,Community,195,7,0.504,No,28571,9,31.61,-0.401,0,42.921
Instagram,Tuesday,1,Image,Lifestyle,118,7,0.254,No,908,64,7.071,-0.283,0,32.408
Facebook,Monday,9,Carousel,Community,56,4,-0.11,No,28960,41,20.042,-0.661,0,31.99
Instagram,Saturday,16,Text,Education,55,6,-0.037,Yes,16869,46,16.93,-0.13,0,35.429
Instagram,Tuesday,3,Image,Lifestyle,44,5,1.0,Yes,102020,116,7.529,-0.324,0,32.268
X,Tuesday,13,Carousel,Lifestyle,54,6,0.01,Yes,16538,98,17.361,0.267,0,61.15
TikTok,Friday,23,Short Video,Community,53,0,0.445,No,55603,79,40.25,0.289,0,80.659
LinkedIn,Wednesday,19,Short Video,Entertainment,471,6,0.348,Yes,25533,38,8.968,0.3,0,47.189
LinkedIn,Saturday,8,Short Video,Entertainment,78,6,0.301,No,104817,102,18.433,-0.25,0,58.819
X,Wednesday,21,Short Video,Product,39,5,-0.184,Yes,12629,66,5.54,0.105,0,49.245
TikTok,Sunday,19,Long Video,Product,46,4,1.0,No,3458,107,24.473,0.259,0,44.452
TikTok,Wednesday,4,Short Video,Lifestyle,131,6,0.511,Yes,27856,92,45.0,-0.273,0,84.999
Instagram,Monday,15,Image,Product,163,3,0.078,No,7297,93,7.883,-0.096,0,20.189
Facebook,Saturday,15,Short Video,Lifestyle,127,5,-0.016,Yes,9720,105,15.989,-0.013,0,49.028
TikTok,Friday,7,Short Video,Education,57,6,0.358,Yes,76426,79,21.607,-0.3,0,63.757
LinkedIn,Sunday,7,Image,Behind the Scenes,66,4,0.124,Yes,6181,11,13.353,-0.172,0,29.458
TikTok,Monday,5,Text,Education,365,4,0.314,Yes,3607,86,27.541,-0.089,0,44.521
Instagram,Thursday,13,Long Video,Community,367,6,0.511,Yes,12290,56,23.536,-0.349,0,43.654
X,Friday,2,Carousel,Entertainment,114,8,-0.281,No,1002,41,23.215,0.292,0,42.025
LinkedIn,Wednesday,3,Text,Community,107,7,1.0,Yes,8889,16,24.561,-0.489,0,26.196
TikTok,Tuesday,19,Short Video,Entertainment,328,2,-0.286,No,8097,6,16.642,0.137,0,59.977
LinkedIn,Wednesday,5,Text,Product,236,5,0.159,No,8142,12,23.457,-0.321,0,30.188
TikTok,Monday,14,Short Video,Behind the Scenes,115,7,-0.253,No,7608,127,43.336,0.257,1,81.961
LinkedIn,Friday,19,Short Video,Behind the Scenes,91,4,0.701,Yes,85326,98,21.464,-0.167,0,48.517
TikTok,Saturday,0,Image,Entertainment,78,3,0.831,Yes,13974,81,16.075,0.015,0,61.64
Facebook,Thursday,5,Carousel,Product,54,2,0.463,Yes,2090,11,29.354,-0.043,0,35.168
Instagram,Monday,0,Short Video,Entertainment,57,6,0.075,Yes,6683,109,13.617,0.035,0,42.48
Instagram,Saturday,9,Long Video,Education,98,7,0.048,Yes,868,47,31.396,0.065,0,41.484
LinkedIn,Sunday,7,Text,Behind the Scenes,65,3,0.556,Yes,41723,74,6.178,-0.122,0,27.616
TikTok,Friday,20,Image,Product,134,8,0.835,No,62696,83,26.766,-0.254,0,47.308
Instagram,Monday,19,Short Video,Lifestyle,87,4,0.315,Yes,2181,41,15.997,0.138,1,53.474
Instagram,Wednesday,6,Image,Product,66,4,-0.436,No,4849,130,24.069,0.02,0,36.177
TikTok,Thursday,7,Short Video,Entertainment,66,8,-0.071,No,2048,67,13.722,-0.155,1,46.83
LinkedIn,Sunday,12,Carousel,Behind the Scenes,211,11,0.022,Yes,14258,34,35.501,-0.151,0,63.568
TikTok,Thursday,13,Short Video,Lifestyle,126,9,0.349,Yes,52788,88,33.768,0.064,0,70.95
LinkedIn,Monday,4,Short Video,Product,72,1,0.643,Yes,16530,94,14.838,-0.075,0,35.108
X,Friday,16,Text,Behind the Scenes,76,5,0.38,Yes,6889,12,13.892,0.243,0,32.14
TikTok,Friday,4,Short Video,Entertainment,24,7,0.376,Yes,40645,113,17.149,0.053,0,59.226
LinkedIn,Tuesday,21,Image,Behind the Scenes,109,8,-0.05,Yes,1542,58,15.164,-0.337,0,38.211
Instagram,Wednesday,5,Short Video,Lifestyle,36,4,0.058,Yes,3388,1,32.784,0.559,0,73.171
TikTok,Monday,23,Short Video,Education,81,3,0.557,Yes,30329,47,4.163,0.298,0,61.553
Instagram,Monday,6,Carousel,Lifestyle,197,2,0.425,Yes,2480,68,20.374,-0.065,1,52.661
Instagram,Wednesday,7,Image,Lifestyle,95,9,0.896,No,1463,135,18.154,-0.15,0,36.33
Instagram,Monday,2,Text,Product,120,3,0.175,Yes,2359,136,21.599,0.052,0,36.134
Instagram,Tuesday,0,Image,Product,103,6,0.697,Yes,3439,111,45.0,-0.272,0,52.678
LinkedIn,Friday,14,Image,Entertainment,128,10,0.286,Yes,40688,41,24.371,-0.247,0,37.708
Facebook,Wednesday,19,Short Video,Behind the Scenes,129,3,0.788,Yes,6541,34,23.828,-0.235,0,54.353
X,Tuesday,10,Carousel,Entertainment,319,2,-0.002,Yes,2248,7,9.36,0.076,0,52.634
Facebook,Friday,1,Short Video,Community,185,6,0.147,Yes,324,60,21.903,0.176,0,41.679
Facebook,Saturday,0,Image,Behind the Scenes,202,4,-0.024,No,10474,94,4.962,-0.064,1,45.055
Instagram,Friday,16,Carousel,Education,89,5,0.63,Yes,17026,68,26.237,-0.206,0,58.838
Facebook,Wednesday,0,Carousel,Lifestyle,63,5,-0.047,No,101613,77,18.766,-0.273,0,38.784
TikTok,Saturday,0,Short Video,Education,209,2,-0.484,No,7015,131,14.697,-0.046,0,51.254
X,Wednesday,18,Image,Behind the Scenes,78,5,0.186,Yes,35310,26,31.968,0.137,0,65.149
X,Monday,16,Carousel,Community,72,6,-0.162,No,10105,142,16.423,0.238,0,46.652
Instagram,Friday,19,Short Video,Behind the Scenes,53,2,-0.045,Yes,3376,88,2.222,0.21,0,50.604
Facebook,Saturday,11,Short Video,Behind the Scenes,41,3,0.602,No,15493,97,12.749,-0.255,0,45.619
Facebook,Tuesday,23,Carousel,Community,17,7,1.0,Yes,12018,7,7.566,-0.123,0,31.141
Facebook,Wednesday,1,Short Video,Lifestyle,156,8,-0.005,No,42694,131,38.536,0.377,0,66.157
Instagram,Monday,1,Carousel,Lifestyle,162,6,0.661,Yes,14045,33,25.785,-0.5,1,61.442
Facebook,Thursday,10,Image,Education,87,7,0.467,No,877,68,20.443,-0.012,0,27.551
LinkedIn,Thursday,11,Carousel,Entertainment,274,4,0.319,Yes,14939,106,14.071,0.217,0,38.205
TikTok,Tuesday,22,Short Video,Lifestyle,44,5,-0.393,No,2144,87,14.001,0.008,0,49.875
Facebook,Thursday,2,Text,Community,58,5,0.251,No,5482,107,4.833,0.189,1,40.916
Instagram,Friday,21,Image,Behind the Scenes,159,5,-0.488,No,4017,61,17.002,-0.236,0,45.812
X,Thursday,13,Carousel,Product,165,3,-0.032,No,13883,11,9.446,-0.453,0,27.296
Instagram,Saturday,17,Text,Entertainment,155,7,0.122,Yes,731,41,19.006,0.15,0,47.692
Instagram,Thursday,15,Short Video,Entertainment,182,4,-0.219,No,7220,49,40.518,-0.127,0,62.579
TikTok,Wednesday,16,Text,Entertainment,29,9,-0.269,No,41987,104,31.941,0.08,0,77.836
LinkedIn,Friday,12,Short Video,Community,201,10,0.224,Yes,44163,89,11.307,-0.199,0,54.727
LinkedIn,Tuesday,14,Text,Behind the Scenes,245,3,0.159,Yes,4013,78,30.371,-0.237,0,48.367
Instagram,Saturday,5,Long Video,Product,97,10,0.638,Yes,7228,119,6.044,0.12,0,33.449
Instagram,Friday,14,Image,Lifestyle,61,5,0.524,Yes,1954,18,45.0,0.149,0,70.859
LinkedIn,Wednesday,10,Long Video,Community,189,3,0.537,No,23458,137,35.488,0.073,0,68.154
TikTok,Tuesday,19,Image,Community,118,7,0.46,Yes,29436,131,19.664,0.185,0,76.388
Instagram,Saturday,11,Long Video,Product,131,7,1.0,Yes,13577,20,14.628,0.225,0,47.036
X,Monday,6,Carousel,Community,292,5,-0.133,Yes,5237,15,7.102,0.116,0,31.228
Instagram,Monday,22,Short Video,Product,43,6,0.326,Yes,1107,128,3.841,0.216,0,25.114
Facebook,Friday,11,Image,Behind the Scenes,45,3,0.789,No,5813,43,16.636,-0.036,0,41.626
Instagram,Thursday,5,Image,Lifestyle,252,2,-0.273,Yes,7479,59,45.0,0.043,0,65.39
LinkedIn,Tuesday,8,Image,Entertainment,130,5,0.169,Yes,10248,40,8.398,-0.131,0,30.758
LinkedIn,Wednesday,12,Carousel,Lifestyle,50,5,0.066,Yes,4147,113,29.49,0.371,0,55.805
TikTok,Saturday,9,Image,Entertainment,96,9,0.534,Yes,19738,140,8.686,-0.038,0,30.277
Facebook,Thursday,21,Image,Community,123,4,0.426,Yes,2890,88,41.846,-0.079,0,67.191
X,Thursday,5,Text,Education,119,4,0.935,No,36381,133,31.462,-0.094,0,49.663
LinkedIn,Monday,9,Long Video,Lifestyle,187,6,0.369,Yes,23841,61,14.678,0.091,0,42.931
TikTok,Saturday,2,Short Video,Education,98,2,-0.224,No,23168,46,12.048,0.252,0,61.221
TikTok,Monday,9,Short Video,Lifestyle,77,6,0.832,No,52143,25,32.19,0.189,0,71.305
X,Tuesday,13,Carousel,Community,71,4,-0.431,Yes,21096,133,32.667,-0.385,0,56.449
Instagram,Wednesday,5,Short Video,Entertainment,59,7,0.897,No,19411,52,4.29,0.232,0,50.767
Instagram,Thursday,13,Short Video,Behind the Scenes,479,8,0.408,Yes,10066,3,2.069,-0.56,0,6.75
Instagram,Tuesday,15,Image,Community,174,8,0.268,Yes,9917,5,26.887,-0.007,0,39.309
LinkedIn,Saturday,18,Short Video,Education,127,5,0.755,No,41559,144,45.0,-0.078,0,72.974
Instagram,Wednesday,9,Text,Community,51,3,0.296,Yes,6103,100,14.44,-0.141,0,51.846
Instagram,Monday,8,Image,Lifestyle,59,2,1.0,Yes,36591,31,21.547,0.489,1,52.678
Facebook,Thursday,18,Image,Education,211,2,0.982,Yes,30359,80,15.853,0.212,0,51.077
Instagram,Monday,10,Long Video,Community,58,4,0.679,Yes,10458,22,38.505,-0.361,0,63.245
TikTok,Tuesday,14,Carousel,Community,186,4,-0.154,Yes,13114,52,10.826,0.206,0,35.848
TikTok,Friday,22,Carousel,Education,185,5,0.137,No,20951,10,9.245,0.201,0,42.727
Instagram,Friday,14,Image,Entertainment,56,8,0.458,No,3818,12,16.967,0.403,0,35.746
X,Friday,21,Image,Lifestyle,98,3,0.188,Yes,789,47,25.563,-0.141,0,36.631
Instagram,Wednesday,16,Short Video,Entertainment,173,5,-0.757,Yes,24818,9,45.0,0.017,0,65.927
LinkedIn,Saturday,6,Text,Product,144,4,-0.214,Yes,16710,109,12.518,0.006,0,48.13
TikTok,Monday,1,Short Video,Entertainment,93,6,0.16,Yes,3438,115,16.912,0.403,1,81.55
Instagram,Wednesday,23,Text,Community,175,6,0.637,Yes,7387,26,9.566,0.09,0,44.065
Instagram,Tuesday,5,Image,Entertainment,260,4,0.669,No,8245,51,36.068,0.475,0,61.658
TikTok,Monday,21,Image,Education,266,2,0.733,Yes,25032,73,23.716,0.03,1,70.376
TikTok,Thursday,8,Carousel,Lifestyle,30,4,0.517,Yes,11509,7,16.32,0.3,0,68.548
Instagram,Monday,2,Image,Entertainment,51,5,0.41,No,12772,130,45.0,0.255,1,78.948
X,Friday,19,Short Video,Entertainment,16,8,0.785,Yes,183727,8,18.426,-0.16,0,54.464
TikTok,Saturday,15,Text,Lifestyle,343,7,-0.19,Yes,54412,49,45.0,0.346,0,66.3
X,Saturday,1,Image,Entertainment,258,3,0.382,Yes,17435,78,4.753,-0.245,0,33.146
Instagram,Friday,6,Text,Education,40,5,0.252,Yes,12406,45,7.815,-0.391,0,36.144
Instagram,Tuesday,7,Short Video,Product,59,4,0.161,No,33565,102,43.65,0.084,0,72.672
Facebook,Friday,15,Image,Product,87,4,0.572,No,4473,79,31.19,0.261,0,49.759
Instagram,Thursday,16,Short Video,Community,236,3,0.158,No,2289,91,9.997,-0.45,0,21.856
Instagram,Thursday,15,Short Video,Product,172,3,-0.408,No,19952,9,13.532,-0.023,0,29.92
Instagram,Thursday,14,Long Video,Lifestyle,68,2,0.0,Yes,22042,56,12.639,0.234,0,46.706
Instagram,Monday,22,Long Video,Education,49,2,0.228,No,10164,111,13.002,0.224,0,38.174
LinkedIn,Saturday,19,Short Video,Education,153,6,0.355,Yes,404,87,25.14,0.556,0,68.032
Instagram,Saturday,18,Short Video,Education,303,6,-0.101,No,13107,80,17.639,0.065,1,64.74
X,Saturday,9,Short Video,Product,117,7,-0.127,Yes,3607,97,15.681,0.114,0,47.991
Instagram,Thursday,12,Image,Lifestyle,271,5,-0.478,Yes,45750,67,13.356,-0.405,0,21.178
TikTok,Monday,5,Text,Community,327,4,0.295,No,4548,97,13.033,0.058,0,40.871
TikTok,Friday,14,Image,Behind the Scenes,285,4,0.05,Yes,1440,28,17.843,0.069,0,41.5
TikTok,Sunday,11,Short Video,Product,553,9,-0.038,No,5736,112,27.732,0.159,0,37.603
X,Monday,21,Long Video,Entertainment,391,5,-0.193,No,4607,20,31.227,-0.425,0,40.178
LinkedIn,Wednesday,8,Image,Behind the Scenes,55,5,0.089,Yes,60551,62,32.346,0.242,0,58.497
Instagram,Sunday,8,Short Video,Behind the Scenes,133,6,0.55,Yes,5510,28,11.069,0.404,0,29.199
TikTok,Sunday,8,Image,Education,123,7,-0.798,Yes,22233,49,27.277,-0.23,0,52.324
LinkedIn,Thursday,8,Image,Community,208,2,0.383,Yes,29075,27,8.514,-0.335,0,37.995
Instagram,Tuesday,12,Short Video,Entertainment,110,6,0.282,Yes,114334,100,10.546,0.057,0,43.897
Facebook,Wednesday,1,Text,Entertainment,143,4,0.282,No,313,136,13.935,-0.149,0,26.339
Instagram,Thursday,8,Carousel,Product,288,6,0.258,Yes,6283,47,16.939,0.435,0,39.025
TikTok,Wednesday,20,Text,Lifestyle,245,4,0.868,No,25165,13,14.822,0.618,0,64.692
TikTok,Thursday,3,Short Video,Lifestyle,220,4,0.415,No,2287,141,15.986,0.151,0,46.331
TikTok,Monday,20,Long Video,Lifestyle,54,8,0.544,Yes,13762,84,9.501,-0.051,0,59.264
X,Monday,0,Long Video,Entertainment,117,3,0.38,No,15143,116,15.122,-0.436,0,35.784
Facebook,Monday,18,Short Video,Entertainment,64,5,0.267,Yes,12755,107,17.187,0.195,0,52.094
X,Saturday,12,Carousel,Behind the Scenes,330,4,0.534,Yes,21011,81,17.809,0.135,0,40.839
LinkedIn,Sunday,23,Short Video,Behind the Scenes,59,8,0.188,No,495439,7,44.975,0.365,0,75.952
TikTok,Monday,6,Short Video,Lifestyle,141,4,0.294,Yes,6691,10,23.292,0.093,0,68.772
TikTok,Sunday,20,Text,Behind the Scenes,65,4,0.516,No,20502,59,13.117,0.184,0,53.504
